year,field,scale,tech_type,revenue,employees,researchers,rd_cost
2020,적응,기타,전체,6340060.0,5190.0,1562.0,172400.0
2021,적응,기타,전체,10370154.0,14462.0,4030.0,282765.0
2022,적응,기타,전체,1035412.0,3015.0,1028.0,99652.0
2019,적응,기타,전체,1162961.0,3081.0,926.0,25282.0
2020,적응,기타,전체,464110.0,909.0,226.0,13795.0
2021,적응,기타,전체,500916.0,1502.0,253.0,2098.0
2022,적응,기타,전체,7091323.0,5218.0,1498.0,141938.0
2019,적응,기타,전체,115433.0,737.0,99.0,0.0
2020,적응,기타,전체,11071516.0,17083.0,6390.0,524277.0
2021,적응,기타,전체,1068979.0,3561.0,1232.0,166275.0
2022,적응,기타,전체,1213058.0,3941.0,1629.0,86507.0
2019,적응,기타,전체,512155.0,1429.0,794.0,33610.0
2020,적응,기타,전체,542985.0,1507.0,777.0,31652.0
2021,적응,기타,전체,7646503.0,5538.0,1911.0,198415.0
2022,적응,기타,전체,87836.0,1106.0,48.0,7818.0
2021,적응,기타,전체,81257.0,180.0,45.0,19374.0
2022,적응,기타,전체,26758.0,120.0,41.0,19374.0
2019,적응,기타,전체,5781.0,6.0,1.0,0.0
2019,적응,기타,전체,48717.0,54.0,3.0,0.0
2020,적응,기타,전체,397990.0,2623.0,2064.0,217868.0
2021,적응,기타,전체,34744.0,410.0,270.0,11084.0
2022,적응,기타,전체,74214.0,62.0,12.0,0.0
2019,적응,기타,전체,26220.0,122.0,92.0,2572.0
2020,적응,기타,전체,0.0,810.0,810.0,0.0
2022,적응,기타,전체,262813.0,1219.0,880.0,204213.0
2021,적응,기타,전체,59373.0,144.0,22.0,594.0
2022,적응,기타,전체,10923.0,61.0,11.0,481.0
2019,적응,기타,전체,12061.0,41.0,3.0,13.0
2020,적응,기타,전체,22389.0,43.0,8.0,100.0
2019,적응,기타,전체,14000.0,0.0,0.0,0.0
2020,적응,기타,전체,41380.0,1344.0,880.0,87554.0
2021,적응,기타,전체,12148.0,142.0,29.0,919.0
2022,적응,기타,전체,16806.0,111.0,73.0,9553.0
2019,적응,기타,전체,2000.0,6.0,0.0,0.0
2020,적응,기타,전체,9337.0,42.0,8.0,105.0
2022,적응,기타,전체,1089.0,1044.0,770.0,76977.0
2021,적응,기타,전체,386857.0,957.0,283.0,74424.0
2022,적응,기타,전체,24129.0,226.0,89.0,42276.0
2019,적응,기타,전체,202122.0,419.0,150.0,32098.0
2020,적응,기타,전체,94732.0,181.0,31.0,50.0
2021,적응,기타,전체,22253.0,20.0,2.0,0.0
2022,적응,기타,전체,43620.0,110.0,11.0,0.0
2020,적응,기타,전체,1982099.0,10886.0,2539.0,397752.0
2021,적응,기타,전체,64745.0,737.0,584.0,34631.0
2022,적응,기타,전체,290702.0,1222.0,631.0,75093.0
2019,적응,기타,전체,0.0,164.0,164.0,30000.0
2020,적응,기타,전체,133218.0,369.0,97.0,14381.0
2021,적응,기타,전체,518319.0,922.0,96.0,127581.0
2022,적응,기타,전체,975115.0,7471.0,967.0,116068.0
2021,적응,기타,전체,63073.0,431.0,43.0,1138.0
2022,적응,기타,전체,33103.0,223.0,26.0,938.0
2019,적응,기타,전체,18339.0,166.0,17.0,200.0
2019,적응,기타,전체,11631.0,42.0,0.0,0.0
2020,적응,기타,전체,345634.0,2309.0,451.0,60906.0
2021,적응,기타,전체,61911.0,737.0,61.0,2499.0
2022,적응,기타,전체,86367.0,165.0,76.0,9664.0
2019,적응,기타,전체,4217.0,12.0,12.0,5374.0
2020,적응,기타,전체,121140.0,176.0,176.0,9691.0
2022,적응,기타,전체,72000.0,1219.0,125.0,33678.0
2019,융복합,기타,전체,1788211.0,4482.0,1582.0,119709.0
2020,융복합,기타,전체,98481.0,458.0,192.0,46394.0
2021,융복합,기타,전체,198444.0,220.0,35.0,13997.0
2022,융복합,기타,전체,215383.0,390.0,215.0,2221.0
2019,융복합,기타,전체,1275903.0,2022.0,588.0,57050.0
2020,융복합,기타,전체,0.0,1392.0,553.0,47.0
2021,융복합,기타,전체,1788438.0,4314.0,1277.0,113292.0
2022,융복합,기타,전체,139878.0,724.0,266.0,48407.0
2019,융복합,기타,전체,120015.0,280.0,87.0,9814.0
2020,융복합,기타,전체,158478.0,169.0,34.0,1500.0
2021,융복합,기타,전체,346388.0,425.0,81.0,259.0
2022,융복합,기타,전체,1023679.0,731.0,279.0,53248.0
2019,융복합,기타,전체,0.0,1985.0,530.0,64.0
2020,융복합,기타,전체,2027564.0,6016.0,2143.0,384008.0
2021,융복합,기타,전체,168385.0,1336.0,773.0,73920.0
2022,융복합,기타,전체,148352.0,651.0,211.0,13232.0
2019,융복합,기타,전체,193803.0,375.0,101.0,11744.0
2020,융복합,기타,전체,316348.0,541.0,34.0,7799.0
2021,융복합,기타,전체,1154252.0,902.0,428.0,39754.0
2022,융복합,기타,전체,46424.0,2211.0,597.0,237557.0
2019,융복합,기타,전체,1788211.0,4482.0,1582.0,119709.0
2020,융복합,기타,전체,98481.0,458.0,192.0,46394.0
2021,융복합,기타,전체,198444.0,220.0,35.0,13997.0
2022,융복합,기타,전체,215383.0,390.0,215.0,2221.0
2019,융복합,기타,전체,1275903.0,2022.0,588.0,57050.0
2020,융복합,기타,전체,0.0,1392.0,553.0,47.0
2021,융복합,기타,전체,1788438.0,4314.0,1277.0,113292.0
2022,융복합,기타,전체,139878.0,724.0,266.0,48407.0
2019,융복합,기타,전체,120015.0,280.0,87.0,9814.0
2020,융복합,기타,전체,158478.0,169.0,34.0,1500.0
2021,융복합,기타,전체,346388.0,425.0,81.0,259.0
2022,융복합,기타,전체,1023679.0,731.0,279.0,53248.0
2019,융복합,기타,전체,0.0,1985.0,530.0,64.0
2020,융복합,기타,전체,2027564.0,6016.0,2143.0,384008.0
2021,융복합,기타,전체,168385.0,1336.0,773.0,73920.0
2022,융복합,기타,전체,148352.0,651.0,211.0,13232.0
2019,융복합,기타,전체,193803.0,375.0,101.0,11744.0
2020,융복합,기타,전체,316348.0,541.0,34.0,7799.0
2021,융복합,기타,전체,1154252.0,902.0,428.0,39754.0
2022,융복합,기타,전체,46424.0,2211.0,597.0,237557.0
